,Species,gene,dN,dS,dN/dS
315,Camelus_ferus,ENSG00000109971_HSPA8,0.000002,0.000001,2.05056
316,Camelus_bactrianus,ENSG00000109971_HSPA8,0.000000,0.002024,0.0001
317,Balaenoptera_acutorostrata,ENSG00000109971_HSPA8,0.000711,0.035362,0.0201104
318,Lipotes_vexillifer,ENSG00000109971_HSPA8,0.006090,0.040381,0.150814
319,Delphinapterus_leucas,ENSG00000109971_HSPA8,0.000002,0.021217,0.0001
320,Tursiops_truncatus,ENSG00000109971_HSPA8,0.000002,0.019959,0.0001
321,Bubalus_bubalis,ENSG00000109971_HSPA8,0.000003,0.025822,0.0001
322,Bos_taurus,ENSG00000109971_HSPA8,0.000000,0.000005,0.0001
323,Bos_indicus,ENSG00000109971_HSPA8,0.000002,0.000000,6.56071
324,Bos_mutus,ENSG00000109971_HSPA8,0.000000,0.002884,0.0001
325,Bison_bison,ENSG00000109971_HSPA8,0.000001,0.013265,0.0001
326,Capra_hircus,ENSG00000109971_HSPA8,0.000001,0.005957,0.0001
327,Ovis_aries,ENSG00000109971_HSPA8,0.002154,0.014433,0.149221
328,Odocoileus_virginianus,ENSG00000109971_HSPA8,0.000004,0.043010,0.0001
329,Sus_scrofa,ENSG00000109971_HSPA8,0.000709,0.123023,0.00575953
330,Hipposideros_armiger,ENSG00000109971_HSPA8,0.000006,0.056540,0.0001
331,Rhinolophus_sinicus,ENSG00000109971_HSPA8,0.000006,0.062127,0.0001
332,Pteropus_alecto,ENSG00000109971_HSPA8,0.000004,0.039318,0.0001
333,Rousettus_aegyptiacus,ENSG00000109971_HSPA8,0.000005,0.048937,0.0001
334,Eptesicus_fuscus,ENSG00000109971_HSPA8,0.000008,0.075853,0.0001
335,Myotis_brandtii,ENSG00000109971_HSPA8,0.005825,0.008735,0.666803
336,Myotis_lucifugus,ENSG00000109971_HSPA8,0.000001,0.009459,0.0001
337,Myotis_davidii,ENSG00000109971_HSPA8,0.063609,0.079129,0.80386
338,Miniopterus_natalensis,ENSG00000109971_HSPA8,0.000708,0.078985,0.00896627
339,Oryctolagus_cuniculus,ENSG00000109971_HSPA8,0.000028,0.275163,0.0001
340,Heterocephalus_glaber,ENSG00000109971_HSPA8,0.000009,0.088354,0.0001
341,Fukomys_damarensis,ENSG00000109971_HSPA8,0.000008,0.079724,0.0001
342,Cavia_porcellus,ENSG00000109971_HSPA8,0.000000,0.004134,0.0001
343,Cavia_aperea,ENSG00000109971_HSPA8,0.007211,0.008260,0.873038
344,Octodon_degus,ENSG00000109971_HSPA8,0.003554,0.203328,0.0174782
345,Chinchilla_lanigera,ENSG00000109971_HSPA8,0.000011,0.106031,0.0001
346,Mus_musculus,ENSG00000109971_HSPA8,0.000017,0.171485,0.0001
347,Meriones_unguiculatus,ENSG00000109971_HSPA8,0.000713,0.122263,0.00582901
348,Mesocricetus_auratus,ENSG00000109971_HSPA8,0.003566,0.114990,0.0310115
349,Microtus_ochrogaster,ENSG00000109971_HSPA8,0.000716,0.132097,0.00541961
350,Peromyscus_maniculatus,ENSG00000109971_HSPA8,0.000007,0.074134,0.0001
351,Nannospalax_galili,ENSG00000109971_HSPA8,0.000022,0.220333,0.0001
352,Jaculus_jaculus,ENSG00000109971_HSPA8,0.000024,0.236909,0.0001
353,Dipodomys_ordii,ENSG00000109971_HSPA8,0.000039,0.388684,0.0001
354,Castor_canadensis,ENSG00000109971_HSPA8,0.000019,0.190148,0.0001
355,Ictidomys_tridecemlineatus,ENSG00000109971_HSPA8,0.000003,0.026238,0.0001
356,Marmota_marmota,ENSG00000109971_HSPA8,0.000001,0.010928,0.0001
357,Otolemur_garnettii,ENSG00000109971_HSPA8,0.000011,0.110725,0.0001
358,Propithecus_coquereli,ENSG00000109971_HSPA8,0.000006,0.056372,0.0001
359,Microcebus_murinus,ENSG00000109971_HSPA8,0.000005,0.049778,0.0001
360,Callithrix_jacchus,ENSG00000109971_HSPA8,0.000709,0.057007,0.0124322
361,Aotus_nancymaae,ENSG00000109971_HSPA8,0.000002,0.022884,0.0001
362,Saimiri_boliviensis,ENSG00000109971_HSPA8,0.030077,0.047581,0.632127
363,Mandrillus_leucophaeus,ENSG00000109971_HSPA8,0.000001,0.010127,0.0001
364,Papio_anubis,ENSG00000109971_HSPA8,0.000001,0.010843,0.0001
365,Macaca_mulatta,ENSG00000109971_HSPA8,0.000718,0.004093,0.175371
366,Macaca_fascicularis,ENSG00000109971_HSPA8,0.000000,0.002010,0.0001
367,Macaca_nemestrina,ENSG00000109971_HSPA8,0.000002,0.000000,4.45807
368,Chlorocebus_sabaeus,ENSG00000109971_HSPA8,0.000001,0.012158,0.0001
369,Rhinopithecus_roxellana,ENSG00000109971_HSPA8,0.000001,0.010827,0.0001
370,Piliocolobus_tephrosceles,ENSG00000109971_HSPA8,0.000001,0.012714,0.0001
371,Colobus_angolensis,ENSG00000109971_HSPA8,0.000002,0.020169,0.0001
372,Nomascus_leucogenys,ENSG00000109971_HSPA8,0.000002,0.021207,0.0001
373,Gorilla_gorilla,ENSG00000109971_HSPA8,0.000002,0.017535,0.0001
374,Pan_troglodytes,ENSG00000109971_HSPA8,0.000000,0.000005,0.0001
375,Pan_paniscus,ENSG00000109971_HSPA8,0.000001,0.006041,0.0001
376,Homo_sapiens,ENSG00000109971_HSPA8,0.000001,0.013727,0.0001
377,Pongo_abelii,ENSG00000109971_HSPA8,0.000002,0.020536,0.0001
378,Carlito_syrichta,ENSG00000109971_HSPA8,0.001419,0.157349,0.00901502
379,Galeopterus_variegatus,ENSG00000109971_HSPA8,0.002854,0.169930,0.0167955
380,Dasypus_novemcinctus,ENSG00000109971_HSPA8,0.000704,0.236024,0.00298425
381,Trichechus_manatus,ENSG00000109971_HSPA8,0.032417,0.078962,0.410545
382,Loxodonta_africana,ENSG00000109971_HSPA8,0.000910,0.119120,0.00764194
383,Echinops_telfairi,ENSG00000109971_HSPA8,0.010735,0.279252,0.0384407
384,Chrysochloris_asiatica,ENSG00000109971_HSPA8,0.000690,0.218792,0.00315472
385,Orycteropus_afer,ENSG00000109971_HSPA8,0.002122,0.175652,0.0120812
386,Ornithorhynchus_anatinus,ENSG00000109971_HSPA8,0.000093,0.000025,3.76387
387,Monodelphis_domestica,ENSG00000115484_CCT4,0.007257,0.106842,0.0679189
388,Sarcophilus_harrisii,ENSG00000115484_CCT4,0.004120,0.126024,0.0326946
389,Phascolarctos_cinereus,ENSG00000115484_CCT4,0.000905,0.054782,0.0165183
390,Erinaceus_europaeus,ENSG00000115484_CCT4,0.008797,0.189493,0.0464225
391,Condylura_cristata,ENSG00000115484_CCT4,0.004680,0.157823,0.0296529
392,Panthera_tigris,ENSG00000115484_CCT4,0.000000,0.000005,0.0001
393,Panthera_pardus,ENSG00000115484_CCT4,0.000002,0.000000,20.8785
394,Felis_catus,ENSG00000115484_CCT4,0.000001,0.006182,0.0001
395,Acinonyx_jubatus,ENSG00000115484_CCT4,0.000001,0.007175,0.0001
396,Enhydra_lutris,ENSG00000115484_CCT4,0.001739,0.028102,0.0618814
397,Mustela_putorius,ENSG00000115484_CCT4,0.000873,0.033632,0.0259538
398,Odobenus_rosmarus,ENSG00000115484_CCT4,0.000870,0.018676,0.046593
399,Leptonychotes_weddellii,ENSG00000115484_CCT4,0.006499,0.015639,0.415581
400,Ailuropoda_melanoleuca,ENSG00000115484_CCT4,0.000002,0.023319,0.0001
401,Ursus_maritimus,ENSG00000115484_CCT4,0.000001,0.009556,0.0001
402,Manis_javanica,ENSG00000115484_CCT4,0.008997,0.121949,0.0737732
403,Equus_caballus,ENSG00000115484_CCT4,0.000000,0.002500,0.0001
404,Equus_przewalskii,ENSG00000115484_CCT4,0.000000,0.000005,0.0001
405,Equus_asinus,ENSG00000115484_CCT4,0.000001,0.012545,0.0001
406,Ceratotherium_simum,ENSG00000115484_CCT4,0.001731,0.045979,0.0376558
407,Vicugna_pacos,ENSG00000115484_CCT4,0.000001,0.009923,0.0001
408,Camelus_dromedarius,ENSG00000115484_CCT4,0.000000,0.002289,0.0001
409,Camelus_ferus,ENSG00000115484_CCT4,0.000002,0.000000,8.85331
410,Camelus_bactrianus,ENSG00000115484_CCT4,0.000000,0.000005,0.0001
411,Balaenoptera_acutorostrata,ENSG00000115484_CCT4,0.003458,0.019388,0.178368
412,Physeter_catodon,ENSG00000115484_CCT4,0.002749,0.022120,0.124296
413,Delphinapterus_leucas,ENSG00000115484_CCT4,0.001729,0.000002,999
414,Tursiops_truncatus,ENSG00000115484_CCT4,0.003774,0.002514,1.50154
415,Orcinus_orca,ENSG00000115484_CCT4,0.000002,0.000000,14.3906
416,Bos_taurus,ENSG00000115484_CCT4,0.000000,0.000005,0.0001
417,Bos_indicus,ENSG00000115484_CCT4,0.000000,0.000005,0.0001
418,Bos_mutus,ENSG00000115484_CCT4,0.000000,0.000005,0.0001
419,Bison_bison,ENSG00000115484_CCT4,0.000000,0.004866,0.0001
420,Capra_hircus,ENSG00000115484_CCT4,0.000001,0.014120,0.0001
421,Pantholops_hodgsonii,ENSG00000115484_CCT4,0.001729,0.016536,0.104562
422,Odocoileus_virginianus,ENSG00000115484_CCT4,0.000006,0.060871,0.0001
423,Sus_scrofa,ENSG00000115484_CCT4,0.003456,0.117231,0.0294845
424,Hipposideros_armiger,ENSG00000115484_CCT4,0.001946,0.033859,0.0574617
425,Rhinolophus_sinicus,ENSG00000115484_CCT4,0.005925,0.049770,0.119038
426,Pteropus_vampyrus,ENSG00000115484_CCT4,0.000000,0.004756,0.0001
427,Pteropus_alecto,ENSG00000115484_CCT4,0.000001,0.007025,0.0001
428,Rousettus_aegyptiacus,ENSG00000115484_CCT4,0.001722,0.028686,0.0600473
429,Eptesicus_fuscus,ENSG00000115484_CCT4,0.004845,0.035659,0.135863
430,Myotis_brandtii,ENSG00000115484_CCT4,0.000001,0.009264,0.0001
431,Myotis_lucifugus,ENSG00000115484_CCT4,0.000001,0.006965,0.0001
432,Myotis_davidii,ENSG00000115484_CCT4,0.000001,0.005527,0.0001
433,Miniopterus_natalensis,ENSG00000115484_CCT4,0.001770,0.054030,0.0327556
434,Oryctolagus_cuniculus,ENSG00000115484_CCT4,0.003477,0.083433,0.0416753
435,Ochotona_princeps,ENSG00000115484_CCT4,0.001927,0.155422,0.0123976
436,Fukomys_damarensis,ENSG00000115484_CCT4,0.003463,0.066943,0.0517325
437,Cavia_porcellus,ENSG00000115484_CCT4,0.000001,0.006484,0.0001
438,Cavia_aperea,ENSG00000115484_CCT4,0.000003,0.030466,0.0001
439,Chinchilla_lanigera,ENSG00000115484_CCT4,0.006127,0.121251,0.0505323
440,Rattus_norvegicus,ENSG00000115484_CCT4,0.001995,0.129222,0.0154409
441,Mus_musculus,ENSG00000115484_CCT4,0.000874,0.011604,0.0753058
442,Mus_spretus,ENSG00000115484_CCT4,0.000875,0.016279,0.0537254
443,Mus_caroli,ENSG00000115484_CCT4,0.000003,0.027479,0.0001
444,Mus_pahari,ENSG00000115484_CCT4,0.000874,0.035751,0.0244554
445,Meriones_unguiculatus,ENSG00000115484_CCT4,0.004382,0.159278,0.0275095
446,Mesocricetus_auratus,ENSG00000115484_CCT4,0.003422,0.067760,0.050498
447,Cricetulus_griseus,ENSG00000115484_CCT4,0.000982,0.040172,0.0244403
448,Microtus_ochrogaster,ENSG00000115484_CCT4,0.001812,0.085365,0.0212213
449,Nannospalax_galili,ENSG00000115484_CCT4,0.005848,0.114095,0.0512516
450,Dipodomys_ordii,ENSG00000115484_CCT4,0.014700,0.182259,0.080656
451,Castor_canadensis,ENSG00000115484_CCT4,0.001542,0.107418,0.0143532
452,Ictidomys_tridecemlineatus,ENSG00000115484_CCT4,0.002743,0.009335,0.293899
453,Marmota_marmota,ENSG00000115484_CCT4,0.000684,0.009514,0.0719345
454,Otolemur_garnettii,ENSG00000115484_CCT4,0.005341,0.124373,0.0429416
455,Propithecus_coquereli,ENSG00000115484_CCT4,0.001025,0.025173,0.0407153
456,Microcebus_murinus,ENSG00000115484_CCT4,0.009226,0.040670,0.226851
457,Callithrix_jacchus,ENSG00000115484_CCT4,0.000860,0.016396,0.0524334
458,Aotus_nancymaae,ENSG00000115484_CCT4,0.000001,0.014058,0.0001
459,Saimiri_boliviensis,ENSG00000115484_CCT4,0.000863,0.021159,0.0407691
460,Cebus_capucinus,ENSG00000115484_CCT4,0.000002,0.018736,0.0001
461,Mandrillus_leucophaeus,ENSG00000115484_CCT4,0.000001,0.009775,0.0001
462,Cercocebus_atys,ENSG00000115484_CCT4,0.000921,0.009726,0.094718
463,Papio_anubis,ENSG00000115484_CCT4,0.000866,0.011554,0.0749655
464,Macaca_mulatta,ENSG00000115484_CCT4,0.000000,0.002300,0.0001
465,Macaca_fascicularis,ENSG00000115484_CCT4,0.000000,0.002290,0.0001
466,Macaca_nemestrina,ENSG00000115484_CCT4,0.000869,0.000001,999
467,Chlorocebus_sabaeus,ENSG00000115484_CCT4,0.000867,0.009225,0.0939758
468,Rhinopithecus_bieti,ENSG00000115484_CCT4,0.001739,0.004649,0.374024
469,Piliocolobus_tephrosceles,ENSG00000115484_CCT4,0.000883,0.009520,0.0927021
470,Colobus_angolensis,ENSG00000115484_CCT4,0.003819,0.015515,0.246117
471,Nomascus_leucogenys,ENSG00000115484_CCT4,0.000001,0.014659,0.0001
472,Gorilla_gorilla,ENSG00000115484_CCT4,0.000939,0.002511,0.373756
473,Pan_paniscus,ENSG00000115484_CCT4,0.000000,0.002287,0.0001
474,Homo_sapiens,ENSG00000115484_CCT4,0.000000,0.004577,0.0001
475,Pongo_abelii,ENSG00000115484_CCT4,0.000002,0.020025,0.0001
476,Carlito_syrichta,ENSG00000115484_CCT4,0.005295,0.109166,0.0485018
477,Galeopterus_variegatus,ENSG00000115484_CCT4,0.004530,0.122470,0.0369903
478,Tupaia_belangeri,ENSG00000115484_CCT4,0.005496,0.159940,0.0343634
479,Dasypus_novemcinctus,ENSG00000115484_CCT4,0.002303,0.119139,0.0193294
480,Choloepus_hoffmanni,ENSG00000115484_CCT4,0.005379,0.085802,0.0626919
481,Trichechus_manatus,ENSG00000115484_CCT4,0.004037,0.079394,0.0508493
482,Procavia_capensis,ENSG00000115484_CCT4,0.012564,0.475676,0.0264132
483,Loxodonta_africana,ENSG00000115484_CCT4,0.004021,0.115159,0.0349156
484,Echinops_telfairi,ENSG00000115484_CCT4,0.002962,0.177318,0.0167019
485,Chrysochloris_asiatica,ENSG00000115484_CCT4,0.009067,0.141678,0.0639975
486,Elephantulus_edwardii,ENSG00000115484_CCT4,0.017058,0.277703,0.0614255
487,Orycteropus_afer,ENSG00000115484_CCT4,0.003577,0.105861,0.0337918
488,Monodelphis_domestica,ENSG00000116675_DNAJC6,0.006146,0.183596,0.0334772
489,Sarcophilus_harrisii,ENSG00000116675_DNAJC6,0.005458,0.131650,0.041457
490,Phascolarctos_cinereus,ENSG00000116675_DNAJC6,0.006844,0.119670,0.0571906
491,Erinaceus_europaeus,ENSG00000116675_DNAJC6,0.027915,0.273958,0.101894
492,Sorex_araneus,ENSG00000116675_DNAJC6,0.028333,0.412079,0.0687567
493,Condylura_cristata,ENSG00000116675_DNAJC6,0.007725,0.158963,0.0485977
494,Panthera_tigris,ENSG00000116675_DNAJC6,0.000000,0.003919,0.0001
495,Panthera_pardus,ENSG00000116675_DNAJC6,0.001046,0.001294,0.808416
496,Felis_catus,ENSG00000116675_DNAJC6,0.000001,0.012991,0.0001
497,Acinonyx_jubatus,ENSG00000116675_DNAJC6,0.000000,0.003986,0.0001
498,Enhydra_lutris,ENSG00000116675_DNAJC6,0.000598,0.023730,0.0251842
499,Mustela_putorius,ENSG00000116675_DNAJC6,0.006357,0.031812,0.199822
500,Odobenus_rosmarus,ENSG00000116675_DNAJC6,0.002011,0.015149,0.13276
501,Leptonychotes_weddellii,ENSG00000116675_DNAJC6,0.003984,0.023196,0.171746
502,Ailuropoda_melanoleuca,ENSG00000116675_DNAJC6,0.000002,0.016937,0.0001
503,Ursus_maritimus,ENSG00000116675_DNAJC6,0.000003,0.032409,0.0001
504,Manis_javanica,ENSG00000116675_DNAJC6,0.015814,0.127978,0.12357
505,Equus_caballus,ENSG00000116675_DNAJC6,0.000001,0.000001,1.59989
506,Equus_przewalskii,ENSG00000116675_DNAJC6,0.001114,0.000001,999
507,Equus_asinus,ENSG00000116675_DNAJC6,0.001101,0.004466,0.246511
508,Ceratotherium_simum,ENSG00000116675_DNAJC6,0.007281,0.102720,0.07088
509,Vicugna_pacos,ENSG00000116675_DNAJC6,0.002188,0.020256,0.108008
510,Camelus_dromedarius,ENSG00000116675_DNAJC6,0.000000,0.001297,0.0001
511,Camelus_ferus,ENSG00000116675_DNAJC6,0.000000,0.001296,0.0001
512,Camelus_bactrianus,ENSG00000116675_DNAJC6,0.000002,0.000001,2.25607
513,Balaenoptera_acutorostrata,ENSG00000116675_DNAJC6,0.004741,0.030474,0.155579
514,Physeter_catodon,ENSG00000116675_DNAJC6,0.003276,0.014229,0.23024
515,Lipotes_vexillifer,ENSG00000116675_DNAJC6,0.001044,0.009140,0.114268
516,Delphinapterus_leucas,ENSG00000116675_DNAJC6,0.000001,0.009157,0.0001
517,Tursiops_truncatus,ENSG00000116675_DNAJC6,0.000592,0.005852,0.101085
518,Orcinus_orca,ENSG00000116675_DNAJC6,0.000000,0.003897,0.0001
519,Bubalus_bubalis,ENSG00000116675_DNAJC6,0.001044,0.014558,0.0717234
520,Bos_taurus,ENSG00000116675_DNAJC6,0.000521,0.003059,0.170451
521,Bos_indicus,ENSG00000116675_DNAJC6,0.000002,0.000001,2.15974
522,Bos_mutus,ENSG00000116675_DNAJC6,0.000001,0.005983,0.0001
523,Bison_bison,ENSG00000116675_DNAJC6,0.000523,0.008605,0.0608056
524,Capra_hircus,ENSG00000116675_DNAJC6,0.000001,0.007705,0.0001
525,Ovis_aries,ENSG00000116675_DNAJC6,0.001069,0.012006,0.0890492
526,Pantholops_hodgsonii,ENSG00000116675_DNAJC6,0.002090,0.015854,0.131811
527,Odocoileus_virginianus,ENSG00000116675_DNAJC6,0.004600,0.039653,0.115994
528,Sus_scrofa,ENSG00000116675_DNAJC6,0.005678,0.137491,0.0412951
529,Hipposideros_armiger,ENSG00000116675_DNAJC6,0.007093,0.055285,0.128294
530,Rhinolophus_sinicus,ENSG00000116675_DNAJC6,0.006102,0.072764,0.0838635
531,Pteropus_vampyrus,ENSG00000116675_DNAJC6,0.000547,0.011490,0.0476267
532,Pteropus_alecto,ENSG00000116675_DNAJC6,0.003229,0.016556,0.195013
533,Rousettus_aegyptiacus,ENSG00000116675_DNAJC6,0.003935,0.056908,0.0691433
534,Eptesicus_fuscus,ENSG00000116675_DNAJC6,0.003467,0.036221,0.0957129
535,Myotis_brandtii,ENSG00000116675_DNAJC6,0.001045,0.008738,0.119559
536,Myotis_lucifugus,ENSG00000116675_DNAJC6,0.000001,0.007835,0.0001
537,Myotis_davidii,ENSG00000116675_DNAJC6,0.001634,0.020837,0.0784078
538,Miniopterus_natalensis,ENSG00000116675_DNAJC6,0.010793,0.064232,0.168035
539,Oryctolagus_cuniculus,ENSG00000116675_DNAJC6,0.004805,0.094179,0.0510162
540,Ochotona_princeps,ENSG00000116675_DNAJC6,0.009824,0.174643,0.0562503
541,Heterocephalus_glaber,ENSG00000116675_DNAJC6,0.011485,0.113826,0.100901
542,Fukomys_damarensis,ENSG00000116675_DNAJC6,0.015604,0.126976,0.122892
543,Cavia_porcellus,ENSG00000116675_DNAJC6,0.001559,0.020553,0.0758313
544,Cavia_aperea,ENSG00000116675_DNAJC6,0.000003,0.032612,0.0001
545,Octodon_degus,ENSG00000116675_DNAJC6,0.000019,0.192742,0.0001
546,Chinchilla_lanigera,ENSG00000116675_DNAJC6,0.006410,0.092813,0.0690623
547,Rattus_norvegicus,ENSG00000116675_DNAJC6,0.003289,0.070191,0.0468626
548,Mus_musculus,ENSG00000116675_DNAJC6,0.000521,0.019650,0.0265254
549,Mus_spretus,ENSG00000116675_DNAJC6,0.000001,0.014528,0.0001
550,Mus_caroli,ENSG00000116675_DNAJC6,0.003499,0.027401,0.127705
551,Mus_pahari,ENSG00000116675_DNAJC6,0.003090,0.047452,0.065109
552,Meriones_unguiculatus,ENSG00000116675_DNAJC6,0.009720,0.182698,0.0532029
553,Mesocricetus_auratus,ENSG00000116675_DNAJC6,0.001562,0.044252,0.035303
554,Cricetulus_griseus,ENSG00000116675_DNAJC6,0.004195,0.043712,0.0959742
555,Microtus_ochrogaster,ENSG00000116675_DNAJC6,0.005585,0.141061,0.0395952
556,Peromyscus_maniculatus,ENSG00000116675_DNAJC6,0.002975,0.088313,0.033686
557,Nannospalax_galili,ENSG00000116675_DNAJC6,0.008158,0.126594,0.0644408
558,Jaculus_jaculus,ENSG00000116675_DNAJC6,0.000020,0.195166,0.0001
559,Dipodomys_ordii,ENSG00000116675_DNAJC6,0.015510,0.208331,0.0744475
560,Castor_canadensis,ENSG00000116675_DNAJC6,0.013049,0.130114,0.10029
561,Ictidomys_tridecemlineatus,ENSG00000116675_DNAJC6,0.005069,0.025971,0.195173
562,Marmota_marmota,ENSG00000116675_DNAJC6,0.000811,0.012055,0.0672353
563,Otolemur_garnettii,ENSG00000116675_DNAJC6,0.027195,0.354609,0.0766896
564,Propithecus_coquereli,ENSG00000116675_DNAJC6,0.002637,0.029159,0.0904368
565,Microcebus_murinus,ENSG00000116675_DNAJC6,0.004702,0.057150,0.0822776
566,Callithrix_jacchus,ENSG00000116675_DNAJC6,0.002613,0.026362,0.099106
567,Aotus_nancymaae,ENSG00000116675_DNAJC6,0.000001,0.012941,0.0001
568,Saimiri_boliviensis,ENSG00000116675_DNAJC6,0.001046,0.026576,0.0393583
569,Cebus_capucinus,ENSG00000116675_DNAJC6,0.002616,0.014547,0.179837
570,Mandrillus_leucophaeus,ENSG00000116675_DNAJC6,0.002095,0.002761,0.75902
571,Cercocebus_atys,ENSG00000116675_DNAJC6,0.000522,0.006311,0.0826725
572,Papio_anubis,ENSG00000116675_DNAJC6,0.000522,0.007621,0.0684836
573,Macaca_mulatta,ENSG00000116675_DNAJC6,0.000000,0.001299,0.0001
574,Macaca_fascicularis,ENSG00000116675_DNAJC6,0.000001,0.005181,0.0001
575,Macaca_nemestrina,ENSG00000116675_DNAJC6,0.000000,0.001298,0.0001
576,Chlorocebus_sabaeus,ENSG00000116675_DNAJC6,0.000001,0.011829,0.0001
577,Rhinopithecus_roxellana,ENSG00000116675_DNAJC6,0.000000,0.001295,0.0001
578,Rhinopithecus_bieti,ENSG00000116675_DNAJC6,0.001566,0.000002,999
579,Piliocolobus_tephrosceles,ENSG00000116675_DNAJC6,0.002089,0.007803,0.267723
580,Colobus_angolensis,ENSG00000116675_DNAJC6,0.000522,0.007804,0.0668298
581,Nomascus_leucogenys,ENSG00000116675_DNAJC6,0.001568,0.015182,0.103252
582,Gorilla_gorilla,ENSG00000116675_DNAJC6,0.000001,0.006475,0.0001
583,Pan_troglodytes,ENSG00000116675_DNAJC6,0.001044,0.007801,0.133851
584,Pan_paniscus,ENSG00000116675_DNAJC6,0.000000,0.002594,0.0001
585,Homo_sapiens,ENSG00000116675_DNAJC6,0.001044,0.009710,0.107516
586,Pongo_abelii,ENSG00000116675_DNAJC6,0.001244,0.011721,0.106106
587,Carlito_syrichta,ENSG00000116675_DNAJC6,0.015247,0.207873,0.0733494
588,Galeopterus_variegatus,ENSG00000116675_DNAJC6,0.007982,0.096131,0.0830367
589,Tupaia_belangeri,ENSG00000116675_DNAJC6,0.012764,0.170712,0.0747689
590,Dasypus_novemcinctus,ENSG00000116675_DNAJC6,0.010696,0.101517,0.105358
591,Choloepus_hoffmanni,ENSG00000116675_DNAJC6,0.012780,0.110525,0.115633
592,Trichechus_manatus,ENSG00000116675_DNAJC6,0.004130,0.057991,0.0712208
593,Procavia_capensis,ENSG00000116675_DNAJC6,0.011473,0.117973,0.0972533
594,Loxodonta_africana,ENSG00000116675_DNAJC6,0.007759,0.077021,0.100738
595,Echinops_telfairi,ENSG00000116675_DNAJC6,0.014212,0.222922,0.0637516
596,Chrysochloris_asiatica,ENSG00000116675_DNAJC6,0.017179,0.122315,0.140451
597,Elephantulus_edwardii,ENSG00000116675_DNAJC6,0.015532,0.162819,0.0953943
598,Orycteropus_afer,ENSG00000116675_DNAJC6,0.010861,0.102772,0.105677
599,Monodelphis_domestica,ENSG00000120438_TCP1,0.001958,0.095600,0.0204856
600,Sarcophilus_harrisii,ENSG00000120438_TCP1,0.001597,0.107920,0.0147966
601,Phascolarctos_cinereus,ENSG00000120438_TCP1,0.001750,0.057404,0.0304881
602,Erinaceus_europaeus,ENSG00000120438_TCP1,0.021450,0.698534,0.0307067
603,Sorex_araneus,ENSG00000120438_TCP1,0.010397,0.364716,0.0285063
604,Condylura_cristata,ENSG00000120438_TCP1,0.005728,0.206606,0.0277251
605,Panthera_tigris,ENSG00000120438_TCP1,0.000000,0.002173,0.0001
606,Panthera_pardus,ENSG00000120438_TCP1,0.000000,0.004388,0.0001
607,Felis_catus,ENSG00000120438_TCP1,0.000002,0.015229,0.0001
608,Acinonyx_jubatus,ENSG00000120438_TCP1,0.000002,0.015433,0.0001
609,Enhydra_lutris,ENSG00000120438_TCP1,0.001712,0.016927,0.10112
610,Mustela_putorius,ENSG00000120438_TCP1,0.000846,0.026382,0.0320538
611,Odobenus_rosmarus,ENSG00000120438_TCP1,0.000839,0.032682,0.0256668
612,Leptonychotes_weddellii,ENSG00000120438_TCP1,0.006784,0.015119,0.448732
613,Ailuropoda_melanoleuca,ENSG00000120438_TCP1,0.006891,0.061756,0.11158
614,Ursus_maritimus,ENSG00000120438_TCP1,0.001701,0.024349,0.0698451
615,Manis_javanica,ENSG00000120438_TCP1,0.005900,0.133913,0.0440577
616,Equus_caballus,ENSG00000120438_TCP1,0.000001,0.000001,1.55413
617,Equus_przewalskii,ENSG00000120438_TCP1,0.000000,0.002235,0.0001
618,Equus_asinus,ENSG00000120438_TCP1,0.000000,0.003530,0.0001
619,Ceratotherium_simum,ENSG00000120438_TCP1,0.003327,0.057319,0.0580441
620,Vicugna_pacos,ENSG00000120438_TCP1,0.001875,0.013296,0.140988
621,Camelus_dromedarius,ENSG00000120438_TCP1,0.000000,0.004445,0.0001
622,Camelus_ferus,ENSG00000120438_TCP1,0.000002,0.000001,2.09883
623,Camelus_bactrianus,ENSG00000120438_TCP1,0.000002,0.000001,2.10635
624,Balaenoptera_acutorostrata,ENSG00000120438_TCP1,0.002680,0.027164,0.0986416
625,Physeter_catodon,ENSG00000120438_TCP1,0.002366,0.036356,0.0650672
626,Lipotes_vexillifer,ENSG00000120438_TCP1,0.001621,0.030591,0.0529765
627,Delphinapterus_leucas,ENSG00000120438_TCP1,0.000002,0.017248,0.0001
628,Tursiops_truncatus,ENSG00000120438_TCP1,0.002300,0.012146,0.189333
629,Orcinus_orca,ENSG00000120438_TCP1,0.000001,0.008222,0.0001
630,Bubalus_bubalis,ENSG00000120438_TCP1,0.001701,0.015346,0.110831
631,Bos_taurus,ENSG00000120438_TCP1,0.000000,0.002184,0.0001
632,Bos_mutus,ENSG00000120438_TCP1,0.000000,0.002185,0.0001
633,Bison_bison,ENSG00000120438_TCP1,0.000000,0.002185,0.0001
634,Capra_hircus,ENSG00000120438_TCP1,0.000002,0.018563,0.0001
635,Ovis_aries,ENSG00000120438_TCP1,0.000001,0.014895,0.0001
636,Pantholops_hodgsonii,ENSG00000120438_TCP1,0.000002,0.015617,0.0001
637,Sus_scrofa,ENSG00000120438_TCP1,0.002448,0.160108,0.0152908
638,Hipposideros_armiger,ENSG00000120438_TCP1,0.027803,0.032732,0.849403
639,Rhinolophus_sinicus,ENSG00000120438_TCP1,0.002781,0.059807,0.0465039
